meta_entityId,meta_entityType,meta_originalEntityId,meta_timestamp,payload_ambient_temp_c,payload_inlet_temp_c,payload_server_workload_percent,results_ahu_usage_percent,results_calculated_pue,results_calculated_server_power_watts,results_chiller_usage_percent,results_cooling_strategy,results_cooling_unit_power_watts,results_outlet_temp_c,results_temp_deviation_c,results_total_energy_cost_usd
rack-1,datacenter_rack,rack-1,2025-01-01T00:00:00Z,21.42445350887121,24.72632281593243,100.0,45.46291098823596,1.6805555555555556,1440.0,94.20585896690616,Reduce AHU,980.0,28.469323873263708,2.58,0.09
rack-1,datacenter_rack,rack-2,2025-01-01T01:00:00Z,26.420270951892125,23.08526213531408,87.35899263047313,53.185858261949576,1.739578400668219,1284.5156093548194,85.77699619269852,Eco Mode,950.0,29.85436366471003,2.42,0.1
rack-1,datacenter_rack,rack-3,2025-01-01T02:00:00Z,21.45217187808368,16.288791406000026,19.31379966079001,40.833469322981934,1.9607656041818815,447.55973582771713,28.148671834157703,Eco Mode,430.0,23.38184600676756,2.55,0.06
rack-1,datacenter_rack,rack-4,2025-01-01T03:00:00Z,19.200411971860184,19.217280242427403,41.40667955013878,42.49092164047445,1.848044167280549,719.3021584667069,49.30022744992615,Boost All,610.0,24.32369857972349,4.8,0.08
rack-1,datacenter_rack,rack-5,2025-01-01T04:00:00Z,26.7685031566425,19.991739982875472,49.514888570773024,58.10088982561873,1.8424567642192897,819.0331294205082,49.65612686523112,Eco Mode,690.0,23.20554343728745,2.77,0.1
rack-2,datacenter_rack,rack-6,2025-01-01T05:00:00Z,27.58365461682685,19.0734436931662,50.2218958956809,58.55161088125232,1.8336058464169611,827.7293195168751,49.05233142779775,Boost All,690.0,22.237347158581848,3.58,0.07
rack-2,datacenter_rack,rack-7,2025-01-01T06:00:00Z,18.0,18.655843599517898,36.09672536701581,35.56276410068109,1.7645380090378107,653.9897220142944,40.12962584114472,Maintain,500.0,23.00747270037926,6.0,0.06
rack-2,datacenter_rack,rack-8,2025-01-01T07:00:00Z,23.431236624196917,19.47800594347663,53.26393548771748,45.39935452675918,1.8091116078638763,865.1464064989251,59.68979063958502,Boost All,700.0,22.65609861516216,0.57,0.09
rack-2,datacenter_rack,rack-9,2025-01-01T08:00:00Z,23.863866756660634,24.535217804113127,95.95380398837662,42.84128757255475,1.6905323324905046,1390.2317890570323,93.72293440373566,Reduce AHU,960.0,33.83406110738038,0.14,0.13
rack-2,datacenter_rack,rack-10,2025-01-01T09:00:00Z,19.101937636095847,22.01576264158844,57.35860653362174,42.02489987117692,1.8082918860254127,915.5108603635474,66.73633177363368,Increase Chiller,740.0,23.508595267362114,4.9,0.08
rack-3,datacenter_rack,rack-11,2025-01-01T10:00:00Z,20.72287359621184,23.013192780224347,74.41743772648515,45.47684258225662,1.7375584875204264,1125.3344840357672,75.74684654685103,Maintain,830.0,28.13966425336938,3.28,0.08
rack-3,datacenter_rack,rack-12,2025-01-01T11:00:00Z,22.553045977996877,21.58475197622977,79.66193956492684,43.04453184360132,1.6807627378998988,1189.8418566486002,73.86468739401404,Reduce AHU,810.0,26.488490194623896,1.45,0.11
rack-3,datacenter_rack,rack-13,2025-01-01T12:00:00Z,23.32205808094156,20.857687597806024,71.49806506003111,46.46230272747204,1.6976149461374261,1089.4262002383825,66.12665080711741,Boost All,760.0,24.992444219232198,0.68,0.09
rack-3,datacenter_rack,rack-14,2025-01-01T13:00:00Z,23.159080993757083,19.693436191156906,58.50918952060892,41.49160668957116,1.6776648946147765,929.6630311034896,53.09316341711935,Eco Mode,630.0,20.740862244885143,0.84,0.09
rack-3,datacenter_rack,rack-15,2025-01-01T14:00:00Z,22.77300731961177,20.517227620420968,56.861604729097046,48.59020551885317,1.7257550489730273,909.3977381678937,52.34188916167217,Eco Mode,660.0,23.75737137630897,1.23,0.1
rack-4,datacenter_rack,rack-16,2025-01-01T15:00:00Z,21.15239258393336,15.759822716480912,11.596785795254236,46.02122575313346,2.105942279450365,352.6404652816271,20.0,Eco Mode,390.0,20.28165213750584,2.85,0.05
rack-4,datacenter_rack,rack-17,2025-01-01T16:00:00Z,24.142881881270043,21.08141035217642,48.973248798549946,49.22380132282219,1.8739849585537027,812.3709602221643,57.37442953671357,Eco Mode,710.0,25.762863816701525,0.14,0.07
rack-4,datacenter_rack,rack-18,2025-01-01T17:00:00Z,24.174170427227164,18.113041613250218,37.956368537462765,49.809626589656,1.8421197783968477,676.8633330107921,40.17749976459828,Reduce AHU,570.0,27.378853414927885,0.17,0.05
rack-4,datacenter_rack,rack-19,2025-01-01T18:00:00Z,23.40127312195257,19.64880835075109,52.64460171251816,45.92044030398629,1.7230079547559565,857.5286010639734,48.90448245280616,Increase Chiller,620.0,28.884316437493176,0.6,0.09
rack-4,datacenter_rack,rack-20,2025-01-01T19:00:00Z,25.783774156835797,25.13382452643752,80.14384229417854,46.72157776202948,1.7861048375071273,1195.769260218396,88.7804407624218,Reduce AHU,940.0,28.973983970000823,1.78,0.09
rack-5,datacenter_rack,rack-21,2025-01-01T20:00:00Z,21.190757602603277,20.008827123942872,65.09820499250785,39.79938671069948,1.7321600873269412,1010.7079214078465,67.15180551248639,Reduce AHU,740.0,24.778615914329265,2.81,0.08
